hour,dispatch_date,lat,lng,crime
19.0,2024-05-07,39.97802016,-75.15938141,Thefts
10.0,2024-04-20,,,Thefts
10.0,2024-05-24,39.97780547,-75.14377188,Theft from Vehicle
21.0,2024-05-26,40.00237114,-75.2138368,Thefts
9.0,2024-01-29,39.99685009,-75.18364532,Aggravated Assault No Firearm
14.0,2024-06-14,,,Thefts
15.0,2024-08-19,40.06166135,-75.05671162,Thefts
7.0,2024-06-19,,,Thefts
8.0,2024-05-19,39.95169423,-75.15825011,Thefts
16.0,2024-04-21,,,Thefts
14.0,2024-01-25,39.95196616,-75.15985956,Thefts
15.0,2024-04-23,,,Thefts
3.0,2024-04-09,,,Thefts
17.0,2024-01-10,40.07319161,-75.18926735,Theft from Vehicle
0.0,2024-04-20,,,Thefts
11.0,2024-02-22,39.96700198,-75.16968195,Thefts
13.0,2024-01-05,39.99056504,-75.10031949,Thefts
21.0,2024-04-04,40.05566112,-75.00503167,Thefts
11.0,2024-05-18,40.03940218,-75.0328562,Thefts
12.0,2024-06-14,39.90550404,-75.19445413,Thefts
10.0,2024-02-01,39.97980804,-75.10740949,Robbery No Firearm
20.0,2024-07-12,40.03006942,-75.05602341,Thefts
14.0,2024-04-22,40.04225448,-75.10586482,Aggravated Assault Firearm
11.0,2024-05-21,39.95020754,-75.16917488,Thefts
9.0,2024-06-21,,,Thefts
22.0,2023-12-31,40.09595774,-74.97509651,Thefts
6.0,2024-06-23,,,Thefts
12.0,2024-06-01,39.97767751,-75.22203135,Thefts
13.0,2024-05-22,39.97767751,-75.22203135,Thefts
13.0,2024-05-12,,,Theft from Vehicle
16.0,2024-06-25,,,Burglary Residential
12.0,2024-05-29,40.01442721,-75.15307076,Thefts
16.0,2024-08-06,40.01621436,-75.07186163,Thefts
8.0,2024-05-15,40.03218474,-75.17788205,Thefts
20.0,2024-02-10,40.03462864,-75.17538826,Thefts
0.0,2024-01-12,,,Thefts
17.0,2024-06-24,40.06415355,-75.05433919,Thefts
13.0,2024-01-31,39.98687709,-75.16918751,Thefts
15.0,2024-02-28,40.03940218,-75.0328562,Thefts
21.0,2024-06-17,40.06415355,-75.05433919,Thefts
19.0,2024-02-08,40.05024198,-75.0945403,Thefts
20.0,2024-02-25,,,Aggravated Assault No Firearm
16.0,2024-03-03,,,Aggravated Assault No Firearm
17.0,2024-02-22,39.91726474,-75.18024109,Thefts
8.0,2024-01-25,40.03941027,-75.03285794,Thefts
22.0,2024-06-18,40.03045276,-75.11872338,Thefts
9.0,2024-03-14,39.91743409,-75.23790642,Theft from Vehicle
22.0,2024-05-14,39.98554373,-75.16295125,Theft from Vehicle
12.0,2024-01-14,39.91772028,-75.1876692,Thefts
13.0,2024-03-30,39.924391,-75.1461529,Thefts
13.0,2024-03-25,39.99820563,-75.12464837,Thefts
11.0,2024-06-04,39.99215738,-75.1108449,Thefts
11.0,2024-01-20,40.01850729,-75.21435386,Thefts
14.0,2024-02-27,39.94693215,-75.16676269,Thefts
15.0,2024-02-16,39.96701005,-75.16968373,Thefts
11.0,2024-03-15,,,Thefts
8.0,2024-06-22,,,Theft from Vehicle
12.0,2024-05-10,,,Theft from Vehicle
11.0,2024-03-06,40.02146993,-75.17436186,Thefts
16.0,2024-04-01,40.03218474,-75.17788205,Thefts
13.0,2024-05-09,,,Theft from Vehicle
15.0,2024-03-04,39.95366613,-75.15989968,Thefts
17.0,2024-02-25,39.95185837,-75.16814099,Thefts
11.0,2024-04-04,40.03022136,-75.05527019,Thefts
8.0,2024-08-01,39.99992091,-75.15055771,Thefts
13.0,2024-01-25,39.95354943,-75.16872532,Thefts
15.0,2024-02-05,40.05556346,-75.04919886,Thefts
16.0,2024-02-15,39.95970287,-75.22534138,Thefts
1.0,2024-01-28,39.97070151,-75.15850339,Thefts
15.0,2024-01-06,39.96997632,-75.21040522,Aggravated Assault No Firearm
11.0,2024-03-12,,,Theft from Vehicle
17.0,2024-03-19,,,Theft from Vehicle
12.0,2024-01-26,39.97725765,-75.11845018,Thefts
17.0,2024-06-06,39.90371835,-75.23907265,Thefts
16.0,2024-03-18,40.07113271,-75.03205772,Thefts
10.0,2024-02-19,40.03114763,-75.1000858,Thefts
12.0,2024-01-24,39.94825017,-75.16407312,Burglary Non-Residential
15.0,2024-02-02,40.02097371,-75.04867484,Thefts
15.0,2024-02-04,39.99868282,-75.2310369,Thefts
12.0,2024-01-16,39.91396553,-75.15294835,Thefts
23.0,2024-01-02,39.94989523,-75.2040301,Robbery Firearm
23.0,2024-02-04,40.0212456,-75.08638221,Aggravated Assault No Firearm
7.0,2024-01-11,39.95256369,-75.19003708,Thefts
7.0,2024-02-14,39.98687709,-75.16918751,Burglary Non-Residential
16.0,2024-03-30,40.00273243,-75.15306651,Thefts
14.0,2024-05-11,,,Thefts
13.0,2024-01-17,40.03521258,-75.0657697,Thefts
9.0,2024-02-13,39.95747664,-75.20203369,Aggravated Assault No Firearm
19.0,2024-01-16,39.96999304,-75.15893096,Theft from Vehicle
17.0,2024-02-03,39.99282881,-75.15815505,Thefts
13.0,2024-01-27,39.99704442,-75.11739779,Aggravated Assault No Firearm
9.0,2024-03-01,,,Theft from Vehicle
12.0,2024-06-15,40.03218474,-75.17788205,Thefts
8.0,2024-04-15,,,Thefts
13.0,2024-06-08,40.02214562,-75.11491905,Thefts
13.0,2024-04-24,,,Thefts
13.0,2024-05-07,39.90371835,-75.23907265,Thefts
12.0,2024-02-07,39.91478096,-75.15605302,Thefts
14.0,2024-01-16,39.98367076,-75.10063677,Thefts
11.0,2024-03-17,39.95002163,-75.1409614,Thefts
4.0,2024-06-10,39.972973,-75.22405346,Robbery No Firearm
5.0,2024-06-23,40.09997721,-75.03119675,Theft from Vehicle
7.0,2024-04-18,,,Thefts
9.0,2024-01-06,40.02310877,-75.16503643,Thefts
8.0,2024-02-23,,,Thefts
11.0,2024-02-14,40.00489523,-75.14085099,Theft from Vehicle
21.0,2024-01-11,39.99011651,-75.14789841,Robbery Firearm
17.0,2024-04-02,40.00119,-75.12660004,Theft from Vehicle
16.0,2024-02-23,,,Thefts
18.0,2024-02-23,,,Thefts
18.0,2024-02-03,40.00058201,-75.10625829,Thefts
15.0,2024-08-20,40.03113048,-75.18216919,Thefts
15.0,2024-01-29,40.05423954,-75.19332876,Robbery Firearm
8.0,2024-03-22,40.06887721,-75.00526023,Thefts
20.0,2024-06-02,40.06478239,-74.98491272,Thefts
19.0,2024-04-08,40.08934612,-74.96497788,Thefts
13.0,2024-04-06,40.0402853,-75.05737363,Thefts
17.0,2024-03-02,,,Thefts
13.0,2024-01-31,40.03198256,-75.09371764,Robbery Firearm
19.0,2024-03-11,,,Thefts
16.0,2024-01-15,39.99329458,-75.09851975,Thefts
9.0,2024-01-14,39.94945739,-75.1673321,Thefts
10.0,2024-02-20,39.94931013,-75.1608131,Thefts
13.0,2024-02-11,39.89404073,-75.24989749,Theft from Vehicle
16.0,2024-01-01,39.93942434,-75.15737087,Thefts
9.0,2024-08-09,39.92911834,-75.21861649,Theft from Vehicle
7.0,2024-02-16,39.99889213,-75.09236779,Robbery No Firearm
7.0,2024-01-05,40.05110355,-75.01009112,Theft from Vehicle
11.0,2024-05-25,39.99423198,-75.11783963,Thefts
17.0,2024-02-28,40.06365462,-75.23914186,Thefts
14.0,2024-04-24,,,Thefts
7.0,2024-05-12,39.91840889,-75.17999033,Thefts
11.0,2024-02-19,39.95211887,-75.1404692,Theft from Vehicle
20.0,2024-02-14,39.98984315,-75.10386525,Thefts
13.0,2024-02-01,39.95002169,-75.19409419,Thefts
13.0,2024-05-10,,,Thefts
2.0,2024-02-29,40.0408233,-75.0656405,Theft from Vehicle
12.0,2024-04-18,,,Thefts
11.0,2024-01-27,39.99267708,-75.15315767,Thefts
14.0,2024-06-27,40.03204955,-75.11763156,Thefts
12.0,2024-02-22,39.9707968,-75.1468781,Theft from Vehicle
9.0,2024-05-30,39.93316999,-75.1701161,Thefts
13.0,2024-02-01,39.99548865,-75.1155786,Thefts
9.0,2024-02-26,40.03675288,-75.06979373,Thefts
19.0,2024-06-22,40.07025714,-75.03068309,Thefts
8.0,2024-02-28,40.03675288,-75.06979373,Thefts
5.0,2024-03-16,39.95685288,-75.23140397,Rape
15.0,2024-07-07,39.97720895,-75.27421196,Thefts
20.0,2024-01-15,39.96451096,-75.23553298,Robbery No Firearm
14.0,2024-04-24,,,Thefts
17.0,2024-02-26,39.95581001,-75.21411598,Burglary Non-Residential
9.0,2024-06-17,39.95691738,-75.13996717,Theft from Vehicle
17.0,2024-02-23,40.0408649,-75.07510232,Thefts
23.0,2024-04-03,40.03161568,-75.07648667,Theft from Vehicle
16.0,2024-01-20,40.0332248,-75.17649636,Thefts
22.0,2024-01-25,,,Robbery No Firearm
19.0,2024-03-21,39.98583323,-75.15559882,Thefts
13.0,2024-03-06,,,Burglary Non-Residential
21.0,2024-05-29,40.04755922,-74.99438244,Thefts
16.0,2024-05-19,40.02351435,-75.07997353,Aggravated Assault No Firearm
10.0,2024-02-10,39.9517023,-75.15825188,Thefts
11.0,2024-07-15,39.90550404,-75.19445413,Thefts
9.0,2024-08-04,39.91778568,-75.22422328,Burglary Non-Residential
10.0,2024-02-15,40.03301143,-75.08532514,Thefts
16.0,2024-01-08,40.01943696,-75.08439877,Thefts
19.0,2024-02-02,40.06448131,-75.08405096,Thefts
19.0,2024-04-08,40.07487426,-75.08424788,Thefts
12.0,2024-06-30,40.08570879,-74.95939362,Thefts
7.0,2024-01-26,39.97702593,-75.13742933,Burglary Non-Residential
9.0,2024-01-07,39.97851677,-75.18167003,Burglary Residential
16.0,2024-05-31,40.03940218,-75.0328562,Thefts
14.0,2024-02-16,39.97947678,-75.26969066,Thefts
6.0,2024-01-01,40.01224629,-75.06694066,Thefts
13.0,2024-01-17,40.03326695,-75.17786674,Thefts
10.0,2024-05-31,39.97567614,-75.19187648,Thefts
16.0,2024-06-07,39.97724957,-75.11844842,Thefts
19.0,2024-01-05,40.08935422,-74.96497959,Thefts
21.0,2024-04-20,,,Rape
23.0,2024-01-30,39.96532005,-75.24080392,Aggravated Assault Firearm
11.0,2024-03-14,40.03242139,-75.05155978,Thefts
21.0,2024-01-14,39.9688824,-75.23225748,Robbery Firearm
20.0,2024-04-21,39.95537944,-75.15589448,Theft from Vehicle
12.0,2024-04-06,,,Rape
16.0,2024-01-25,40.02774098,-75.13617171,Theft from Vehicle
2.0,2024-08-19,40.09216736,-74.98185118,Robbery Firearm
9.0,2024-02-27,40.013655,-75.06051859,Theft from Vehicle
10.0,2024-02-05,39.97869174,-75.22409371,Thefts
19.0,2024-05-12,,,Thefts
11.0,2024-02-03,39.97869174,-75.22409371,Thefts
19.0,2024-05-12,,,Thefts
16.0,2024-05-11,,,Thefts
13.0,2024-02-05,39.97869174,-75.22409371,Aggravated Assault No Firearm
3.0,2024-06-24,,,Theft from Vehicle
16.0,2024-05-10,,,Thefts
9.0,2024-05-09,39.99393956,-75.15458869,Thefts
13.0,2024-02-03,39.91520732,-75.23950279,Thefts
12.0,2024-06-18,39.91840889,-75.17999033,Thefts
23.0,2024-07-20,39.97093643,-75.13930981,Robbery No Firearm
17.0,2024-02-27,39.91602085,-75.17356303,Thefts
16.0,2024-08-20,39.97057288,-75.15502972,Aggravated Assault Firearm
10.0,2024-08-16,39.97057288,-75.15502972,Thefts
15.0,2024-01-09,39.94979117,-75.17037493,Thefts
14.0,2024-02-29,39.95258581,-75.16522971,Aggravated Assault No Firearm
12.0,2024-01-12,39.9968066,-75.11542299,Aggravated Assault No Firearm
17.0,2024-03-27,39.99160971,-75.13613217,Thefts
10.0,2024-01-21,40.03205764,-75.11763332,Thefts
20.0,2024-05-07,40.02088208,-75.13489474,Thefts
5.0,2024-03-21,39.98982121,-75.1292086,Aggravated Assault No Firearm
22.0,2024-06-21,39.9739917,-75.14416121,Aggravated Assault Firearm
2.0,2024-06-26,40.03080093,-75.17860337,Robbery No Firearm
0.0,2024-04-02,40.06887721,-75.00526023,Thefts
13.0,2024-05-11,40.01102179,-75.06636279,Burglary Non-Residential
8.0,2024-07-05,39.96772893,-75.24630091,Thefts
17.0,2024-03-13,,,Thefts
12.0,2024-04-24,40.03940218,-75.0328562,Thefts
12.0,2024-03-27,39.883896,-75.230667,Thefts
10.0,2024-08-02,39.90550404,-75.19445413,Thefts
11.0,2024-06-09,40.03218474,-75.17788205,Thefts
11.0,2024-02-14,40.00274051,-75.15306828,Thefts
6.0,2024-05-24,,,Thefts
17.0,2024-03-28,39.982086,-75.22694049,Thefts
21.0,2024-03-05,,,Thefts
17.0,2024-05-02,,,Thefts
11.0,2024-04-16,39.93712534,-75.18632901,Thefts
18.0,2024-03-12,39.92888207,-75.19603539,Thefts
17.0,2024-04-09,39.93712534,-75.18632901,Thefts
11.0,2024-01-11,40.06166135,-75.05671162,Thefts
10.0,2024-04-19,40.0052375,-75.1507447,Thefts
14.0,2024-02-23,,,Thefts
8.0,2024-02-28,40.02939524,-75.0557454,Thefts
11.0,2024-01-05,39.99272838,-75.11965331,Thefts
12.0,2024-07-06,40.03471463,-75.06449881,Thefts
12.0,2024-02-27,40.00790765,-75.12762301,Thefts
20.0,2024-05-23,40.07487426,-75.08424788,Thefts
20.0,2023-12-31,39.93479728,-75.17889715,Thefts
11.0,2024-05-24,39.90875331,-75.18819045,Aggravated Assault No Firearm
23.0,2024-07-12,40.07498272,-75.20587691,Thefts
20.0,2024-06-06,40.00963469,-75.17580691,Thefts
5.0,2024-07-26,39.99231656,-75.11990406,Robbery No Firearm
12.0,2024-01-19,39.9131466,-75.15559998,Thefts
17.0,2024-05-20,40.06154602,-75.04431424,Theft from Vehicle
14.0,2024-01-20,40.06479048,-74.98491444,Thefts
19.0,2024-01-24,39.91602085,-75.17356303,Thefts
21.0,2024-04-06,,,Robbery No Firearm
14.0,2024-02-13,39.97595775,-75.18698026,Thefts
12.0,2024-01-25,40.0401068,-75.17292464,Thefts
19.0,2024-07-26,39.95257774,-75.16522794,Thefts
12.0,2024-04-29,39.99215738,-75.1108449,Thefts
17.0,2024-05-26,40.05543182,-75.09076785,Thefts
20.0,2024-06-22,40.06165326,-75.05670987,Thefts
17.0,2024-06-02,40.05543182,-75.09076785,Thefts
13.0,2024-07-22,39.95185031,-75.16813922,Thefts
18.0,2024-04-24,,,Robbery No Firearm
12.0,2024-06-26,,,Thefts
23.0,2024-06-24,,,Theft from Vehicle
13.0,2024-04-27,40.04176657,-75.02604116,Thefts
21.0,2024-03-24,39.96700198,-75.16968195,Thefts
20.0,2024-04-02,39.96700198,-75.16968195,Thefts
8.0,2024-02-09,39.99078455,-75.08935293,Thefts
11.0,2024-01-04,40.06416164,-75.05434094,Thefts
15.0,2024-01-12,39.9969949,-75.11732851,Robbery Firearm
20.0,2024-03-31,39.96700198,-75.16968195,Thefts
20.0,2024-06-04,39.9851076,-75.1472447,Aggravated Assault Firearm
15.0,2024-03-31,39.96700198,-75.16968195,Thefts
10.0,2024-02-06,39.92572043,-75.16082983,Theft from Vehicle
15.0,2024-05-21,40.06094026,-75.19194366,Thefts
8.0,2024-07-08,,,Thefts
3.0,2024-04-08,,,Thefts
8.0,2024-07-02,,,Thefts
18.0,2024-04-15,,,Thefts
20.0,2024-03-28,40.00963469,-75.17580691,Thefts
13.0,2024-04-02,40.00963469,-75.17580691,Thefts
13.0,2024-02-13,39.92967495,-75.16330161,Thefts
4.0,2024-03-11,,,Robbery Firearm
20.0,2024-02-23,,,Thefts
9.0,2024-02-24,,,Thefts
3.0,2024-01-13,40.03198256,-75.09371764,Thefts
14.0,2024-01-12,,,Thefts
1.0,2024-03-05,,,Thefts
20.0,2024-01-21,40.00827961,-75.09199069,Robbery Firearm
17.0,2024-03-16,,,Theft from Vehicle
10.0,2024-03-09,,,Thefts
3.0,2024-01-03,39.95388423,-75.24346888,Burglary Residential
18.0,2024-03-08,,,Thefts
18.0,2024-03-17,,,Thefts
21.0,2024-05-21,,,Thefts
16.0,2024-05-24,40.09292805,-75.01743102,Thefts
9.0,2024-04-04,40.01727168,-75.14878483,Thefts
8.0,2024-02-08,39.9517023,-75.15825188,Thefts
10.0,2024-03-19,39.92978782,-75.22831746,Thefts
17.0,2024-04-25,39.97724957,-75.11844842,Thefts
10.0,2024-01-12,39.99242421,-75.14047143,Aggravated Assault Firearm
11.0,2024-02-16,40.02987992,-75.18797572,Theft from Vehicle
19.0,2024-01-18,40.02259382,-75.07830646,Thefts
12.0,2024-01-06,40.00108335,-75.11992727,Theft from Vehicle
17.0,2024-01-28,39.96041373,-75.23384182,Thefts
16.0,2024-04-09,40.02258574,-75.07830472,Robbery No Firearm
14.0,2024-03-15,,,Thefts
16.0,2024-02-02,39.92872363,-75.14723839,Theft from Vehicle
0.0,2024-01-02,39.89214697,-75.24058222,Thefts
17.0,2024-01-03,39.92227117,-75.1869397,Thefts
9.0,2024-06-29,39.96008806,-75.23448875,Thefts
1.0,2024-01-18,39.98563091,-75.23202939,Robbery Firearm
17.0,2024-02-15,39.92590176,-75.15516946,Theft from Vehicle
18.0,2024-01-29,39.95197599,-75.15605032,Thefts
15.0,2024-03-30,40.08274359,-74.96802798,Thefts
0.0,2024-03-29,40.03278692,-75.08763283,Burglary Residential
2.0,2024-06-14,40.01242942,-75.1383886,Thefts
18.0,2024-02-15,39.91602085,-75.17356303,Thefts
13.0,2024-01-28,39.9858413,-75.15560059,Thefts
17.0,2024-03-04,39.91602085,-75.17356303,Thefts
11.0,2024-05-10,40.07487426,-75.08424788,Thefts
10.0,2024-03-09,40.02935224,-75.18890446,Thefts
18.0,2024-06-01,40.06804487,-75.15697725,Thefts
16.0,2024-01-03,40.01195902,-75.15696228,Burglary Residential
16.0,2024-05-08,,,Thefts
12.0,2024-06-22,39.91962925,-75.13778474,Thefts
19.0,2024-04-26,,,Thefts
11.0,2024-05-19,39.91962925,-75.13778474,Thefts
22.0,2024-05-24,40.03014664,-75.07872514,Aggravated Assault Firearm
22.0,2024-02-01,39.97869174,-75.22409371,Thefts
20.0,2024-07-04,39.99377321,-75.11791478,Aggravated Assault No Firearm
17.0,2024-08-08,40.111882,-75.02326695,Thefts
7.0,2024-03-27,40.01456692,-75.20846842,Thefts
9.0,2024-03-24,39.98583323,-75.15559882,Thefts
3.0,2024-02-09,39.99502046,-75.13980808,Aggravated Assault No Firearm
10.0,2024-03-22,,,Robbery No Firearm
8.0,2024-03-27,40.00814348,-75.17309064,Thefts
3.0,2024-03-17,,,Robbery Firearm
21.0,2024-03-21,39.98583323,-75.15559882,Robbery No Firearm
7.0,2024-03-18,40.04119316,-75.12998655,Aggravated Assault No Firearm
4.0,2024-02-24,,,Thefts
8.0,2024-02-23,,,Theft from Vehicle
13.0,2024-03-04,,,Thefts
12.0,2024-03-06,,,Thefts
16.0,2024-06-14,39.92217441,-75.14237468,Thefts
21.0,2024-01-15,40.04444612,-75.05338904,Aggravated Assault Firearm
21.0,2024-06-12,39.92217441,-75.14237468,Thefts
9.0,2024-03-11,,,Thefts
19.0,2024-04-01,40.05543182,-75.09076785,Thefts
17.0,2024-07-26,,,Thefts
18.0,2024-06-13,40.00378355,-75.14532295,Aggravated Assault Firearm
13.0,2024-02-16,40.03941027,-75.03285794,Thefts
19.0,2024-01-20,40.04324896,-75.16159922,Burglary Residential
12.0,2024-02-25,39.924391,-75.1461529,Thefts
7.0,2024-01-02,39.98367076,-75.10063677,Thefts
16.0,2024-01-12,40.00327851,-75.16589839,Thefts
16.0,2024-06-13,39.98251866,-75.1753445,Theft from Vehicle
15.0,2024-04-13,40.01668478,-75.09642259,Thefts
19.0,2024-03-21,40.03218474,-75.17788205,Thefts
8.0,2024-03-22,40.03218474,-75.17788205,Thefts
9.0,2024-02-06,39.97286375,-75.17825252,Theft from Vehicle
9.0,2024-02-20,39.94931819,-75.16081487,Thefts
22.0,2024-06-15,39.92296347,-75.18535193,Thefts
17.0,2024-04-07,39.96040566,-75.23384003,Thefts
19.0,2024-06-29,40.07247306,-75.19442862,Thefts
11.0,2024-01-01,39.967737,-75.24630271,Thefts
11.0,2024-01-10,39.967737,-75.24630271,Thefts
11.0,2024-01-12,39.967737,-75.24630271,Thefts
12.0,2024-05-14,40.05543182,-75.09076785,Thefts
18.0,2024-04-07,,,Aggravated Assault No Firearm
22.0,2024-05-12,39.99511946,-75.15219711,Rape
7.0,2024-03-28,39.96635683,-75.20038515,Thefts
13.0,2024-02-11,40.04382946,-75.01793843,Thefts
11.0,2024-03-31,39.99971464,-75.142736,Thefts
19.0,2024-05-06,40.05543182,-75.09076785,Thefts
16.0,2024-04-25,,,Aggravated Assault Firearm
10.0,2024-08-13,39.95727936,-75.24789435,Robbery Firearm
16.0,2024-06-15,40.01831274,-75.09689951,Thefts
0.0,2024-02-11,40.06921771,-75.0278024,Burglary Residential
9.0,2024-01-09,40.06886186,-75.17766613,Thefts
14.0,2024-03-23,39.99045859,-75.11533157,Burglary Residential
8.0,2024-01-13,39.9858413,-75.15560059,Thefts
10.0,2024-01-01,40.00543504,-75.15731763,Aggravated Assault Firearm
14.0,2024-01-30,40.04864284,-75.06251102,Thefts
7.0,2024-04-06,,,Theft from Vehicle
21.0,2024-05-09,39.92327508,-75.16264942,Thefts
6.0,2024-01-10,,,Aggravated Assault No Firearm
16.0,2024-01-12,40.04629553,-75.07037298,Thefts
13.0,2024-04-23,,,Theft from Vehicle
11.0,2024-05-24,40.04775232,-75.05993725,Thefts
13.0,2024-08-19,40.111882,-75.02326695,Thefts
10.0,2024-01-15,40.06166135,-75.05671162,Thefts
13.0,2024-03-22,39.924391,-75.1461529,Thefts
15.0,2024-01-15,40.06166135,-75.05671162,Thefts
7.0,2024-08-20,40.111882,-75.02326695,Thefts
12.0,2024-03-13,39.98583323,-75.15559882,Thefts
20.0,2024-05-16,39.98086666,-75.18732799,Aggravated Assault Firearm
20.0,2024-06-15,39.9689963,-75.15997729,Robbery No Firearm
18.0,2024-01-08,,,Thefts
9.0,2024-03-19,39.97802016,-75.15938141,Thefts
23.0,2024-02-23,,,Robbery Firearm
14.0,2024-01-04,,,Thefts
10.0,2024-03-05,39.97946871,-75.26968885,Thefts
17.0,2024-03-25,40.05543182,-75.09076785,Thefts
1.0,2024-05-08,39.97309081,-75.13222035,Other Assaults
17.0,2024-02-03,40.01291666,-75.15090489,Thefts
16.0,2024-03-24,39.99146781,-75.12252164,Thefts
4.0,2024-02-09,39.96687654,-75.15340146,Burglary Residential
19.0,2024-03-08,40.02096563,-75.0486731,Aggravated Assault No Firearm
11.0,2024-06-09,39.94931013,-75.1608131,Thefts
15.0,2024-02-07,40.04496031,-75.13569048,Thefts
20.0,2024-02-06,40.03622036,-75.07031848,Thefts
13.0,2024-05-25,39.93794391,-75.21631407,Thefts
8.0,2024-07-06,40.0281196,-75.05803478,Thefts
10.0,2024-01-04,40.06479048,-74.98491444,Thefts
9.0,2024-01-10,40.00799174,-75.20573253,Theft from Vehicle
21.0,2024-01-29,39.96701005,-75.16968373,Thefts
19.0,2024-03-19,40.05543182,-75.09076785,Thefts
19.0,2024-02-02,39.9858413,-75.15560059,Thefts
16.0,2024-05-15,39.93126184,-75.22550898,Thefts
18.0,2024-03-03,40.05543182,-75.09076785,Thefts
18.0,2024-02-22,39.95574615,-75.21823764,Thefts
20.0,2024-03-28,40.03138473,-75.10401805,Robbery Firearm
7.0,2024-02-16,40.04029339,-75.05737537,Thefts
15.0,2024-01-10,40.04629553,-75.07037298,Thefts
9.0,2024-01-10,40.04629553,-75.07037298,Thefts
12.0,2024-01-05,40.04905862,-75.22324928,Thefts
11.0,2024-03-22,,,Aggravated Assault No Firearm
18.0,2024-01-08,40.05566921,-75.0050334,Thefts
19.0,2024-02-07,40.008954,-75.06645087,Aggravated Assault No Firearm
12.0,2024-04-24,,,Aggravated Assault Firearm
18.0,2024-04-06,39.98106099,-75.24659217,Thefts
18.0,2024-02-02,39.9858413,-75.15560059,Thefts
13.0,2024-01-24,39.91396553,-75.15294835,Thefts
17.0,2024-02-23,40.05566921,-75.0050334,Thefts
22.0,2024-01-09,39.91471135,-75.18679809,Burglary Non-Residential
18.0,2024-08-04,39.96008806,-75.23448875,Thefts
14.0,2024-03-13,39.98873395,-75.22703164,Thefts
16.0,2024-07-17,40.05002765,-75.15444411,Thefts
10.0,2024-05-03,39.87882462,-75.24313618,Aggravated Assault Firearm
14.0,2024-03-14,39.95052643,-75.16443644,Thefts
17.0,2024-02-27,39.95197599,-75.15605032,Thefts
15.0,2024-07-02,40.04518166,-75.08642283,Thefts
15.0,2024-01-12,40.04543368,-75.11473423,Burglary Residential
12.0,2024-04-14,,,Thefts
14.0,2024-02-12,39.92241325,-75.23524733,Aggravated Assault No Firearm
12.0,2024-02-01,40.08664389,-74.9593644,Thefts
17.0,2024-05-03,39.96004885,-75.20330599,Thefts
8.0,2024-02-06,39.99267708,-75.15315767,Thefts
19.0,2024-04-05,39.94951093,-75.16596846,Thefts
13.0,2024-01-15,39.96009612,-75.23449054,Thefts
1.0,2024-04-11,40.00965572,-75.15446554,Aggravated Assault No Firearm
18.0,2024-03-17,40.04991397,-75.05808695,Thefts
8.0,2024-07-14,39.92243924,-75.228425,Thefts
15.0,2024-07-23,40.111882,-75.02326695,Thefts
2.0,2024-02-01,40.06613827,-75.05092083,Burglary Non-Residential
17.0,2024-04-02,39.96040566,-75.23384003,Thefts
2.0,2024-02-25,40.03618509,-75.06433065,Thefts
9.0,2024-06-16,39.91871311,-75.18621715,Thefts
8.0,2024-01-10,39.95388978,-75.17264352,Thefts
12.0,2024-02-24,40.04087299,-75.07510407,Thefts
18.0,2024-07-25,40.03274493,-75.17735752,Thefts
17.0,2024-02-23,,,Aggravated Assault No Firearm
17.0,2024-08-19,39.9968066,-75.11542299,Robbery No Firearm
11.0,2024-06-02,,,Thefts
21.0,2024-07-16,,,Thefts
2.0,2024-03-16,39.92291389,-75.15825061,Aggravated Assault No Firearm
8.0,2024-01-03,39.94754769,-75.14425078,Theft from Vehicle
14.0,2024-05-24,,,Thefts
12.0,2024-03-09,,,Theft from Vehicle
11.0,2024-01-11,39.95897452,-75.24614656,Robbery No Firearm
9.0,2024-01-04,40.03007751,-75.05602515,Thefts
14.0,2024-02-24,39.93172095,-75.22445756,Thefts
13.0,2024-03-18,,,Thefts
14.0,2024-05-21,,,Thefts
16.0,2024-08-14,40.02812769,-75.05803652,Thefts
16.0,2024-05-12,39.97821764,-75.2720202,Thefts
18.0,2024-02-20,40.01498929,-75.08569514,Robbery Firearm
18.0,2024-03-29,39.96748117,-75.22534081,Robbery No Firearm
21.0,2024-01-22,40.02450287,-75.18106677,Theft from Vehicle
8.0,2024-01-06,39.9312699,-75.22551077,Thefts
17.0,2024-06-02,40.07113271,-75.03205772,Thefts
19.0,2024-03-14,40.03218474,-75.17788205,Thefts
17.0,2024-01-29,40.03644849,-75.21736512,Thefts
15.0,2024-01-29,39.9598555,-75.14770276,Thefts
7.0,2024-04-17,40.07494956,-74.99618482,Theft from Vehicle
19.0,2024-02-28,40.03301143,-75.08532514,Thefts
18.0,2024-03-23,39.91840889,-75.17999033,Thefts
12.0,2024-01-29,40.05059,-75.06924746,Aggravated Assault No Firearm
18.0,2024-02-11,39.94210586,-75.15482007,Thefts
15.0,2024-02-14,39.94210586,-75.15482007,Thefts
13.0,2024-03-16,40.04557015,-75.087747,Thefts
15.0,2024-01-11,,,Thefts
14.0,2024-07-16,39.9686936,-75.13905486,Thefts
0.0,2024-02-05,40.02192355,-75.05159238,Robbery No Firearm
10.0,2024-03-30,39.97280973,-75.13701092,Theft from Vehicle
16.0,2024-07-01,39.94931013,-75.1608131,Thefts
21.0,2024-04-23,,,Aggravated Assault No Firearm
20.0,2024-06-08,40.0304083,-75.10365154,Theft from Vehicle
