hour,dispatch_date,lat,lng,crime
12.0,2024-03-24,39.99070857,-75.11808503,Theft from Vehicle
14.0,2024-02-14,39.97740144,-75.13505044,Theft from Vehicle
17.0,2024-02-02,39.96009612,-75.23449054,Thefts
12.0,2024-01-07,39.97869174,-75.22409371,Thefts
13.0,2024-01-25,39.97869174,-75.22409371,Rape
9.0,2024-07-10,40.02199673,-75.17109005,Theft from Vehicle
10.0,2024-05-18,39.95108949,-75.15536551,Aggravated Assault No Firearm
23.0,2024-08-13,,,Thefts
0.0,2024-08-14,,,Thefts
4.0,2024-08-14,,,Thefts
22.0,2024-08-05,,,Thefts
7.0,2024-08-15,,,Thefts
10.0,2024-08-15,,,Thefts
7.0,2024-03-20,,,Burglary Non-Residential
19.0,2024-03-16,39.924391,-75.1461529,Thefts
10.0,2024-01-04,40.07342475,-75.1778604,Thefts
9.0,2024-08-04,39.94931819,-75.16081487,Thefts
19.0,2024-08-16,39.94931819,-75.16081487,Aggravated Assault Firearm
14.0,2024-02-15,39.91478096,-75.15605302,Thefts
10.0,2024-01-28,39.99520433,-75.13220477,Aggravated Assault No Firearm
10.0,2024-02-16,40.02894938,-75.05784995,Thefts
15.0,2024-06-09,39.94931013,-75.1608131,Thefts
20.0,2024-02-14,40.03675288,-75.06979373,Thefts
19.0,2024-05-10,39.95971241,-75.23518867,Thefts
18.0,2024-01-04,39.97869174,-75.22409371,Thefts
16.0,2024-01-10,39.95175557,-75.21375838,Theft from Vehicle
15.0,2024-05-14,39.96653745,-75.2327558,Thefts
10.0,2024-01-10,40.042353,-75.13877145,Theft from Vehicle
11.0,2024-01-01,39.92041016,-75.21551764,Theft from Vehicle
9.0,2024-04-02,39.98713494,-75.16803786,Aggravated Assault No Firearm
17.0,2024-08-20,39.95185837,-75.16814099,Thefts
21.0,2024-05-29,39.95580195,-75.21411419,Thefts
12.0,2024-03-15,39.95020923,-75.22495583,Theft from Vehicle
9.0,2024-08-14,40.02397446,-75.15959035,Thefts
9.0,2024-06-08,40.03134716,-75.16747661,Thefts
9.0,2024-01-20,39.99748096,-75.09137108,Thefts
19.0,2024-05-13,40.0805117,-75.17171572,Thefts
11.0,2024-05-21,40.03578794,-75.12040536,Thefts
3.0,2024-08-06,39.9931395,-75.15001423,Thefts
9.0,2024-07-08,40.0499047,-75.19021973,Theft from Vehicle
12.0,2024-06-09,,,Theft from Vehicle
15.0,2024-02-13,39.9858413,-75.15560059,Thefts
9.0,2024-07-02,,,Theft from Vehicle
9.0,2024-01-22,39.9858413,-75.15560059,Thefts
13.0,2024-06-21,39.95387332,-75.16708202,Thefts
18.0,2024-01-02,39.95742896,-75.22928648,Thefts
13.0,2024-07-17,,,Theft from Vehicle
23.0,2024-07-29,40.04581786,-75.06951327,Thefts
8.0,2024-03-18,40.07025714,-75.03068309,Thefts
15.0,2024-01-08,39.96589791,-75.18132215,Theft from Vehicle
10.0,2024-01-02,40.01026312,-75.0910351,Thefts
1.0,2024-01-25,40.02697751,-75.1436381,Aggravated Assault Firearm
18.0,2024-06-02,,,Theft from Vehicle
9.0,2024-06-25,39.90371835,-75.23907265,Thefts
11.0,2024-01-20,39.96834689,-75.23717778,Aggravated Assault No Firearm
2.0,2024-06-03,40.01946442,-75.04898048,Thefts
16.0,2024-01-09,39.98713776,-75.1322505,Thefts
10.0,2024-01-18,40.0300647,-75.05719477,Thefts
13.0,2024-06-11,39.93010958,-75.21830725,Thefts
13.0,2024-05-22,39.95108949,-75.15536551,Thefts
19.0,2024-06-09,39.9473725,-75.22887827,Thefts
7.0,2024-05-16,39.96349647,-75.20571821,Aggravated Assault Firearm
4.0,2024-05-27,39.99147488,-75.16004596,Aggravated Assault Firearm
13.0,2024-06-15,39.9473725,-75.22887827,Thefts
11.0,2024-02-04,39.9921912,-75.1010067,Thefts
10.0,2024-03-29,40.0036809,-75.16617542,Thefts
18.0,2024-07-11,39.95205378,-75.17349066,Robbery No Firearm
13.0,2024-03-27,40.0036809,-75.16617542,Thefts
18.0,2024-04-21,40.0036809,-75.16617542,Thefts
1.0,2024-02-04,39.96880075,-75.1805726,Burglary Residential
20.0,2024-01-31,40.01296046,-75.13499486,Robbery No Firearm
20.0,2024-05-18,40.00548285,-75.0965419,Thefts
17.0,2024-05-14,39.95185031,-75.16813922,Thefts
16.0,2024-05-19,40.03134716,-75.16747661,Thefts
8.0,2024-02-02,39.91841695,-75.1799921,Thefts
16.0,2024-02-11,40.04539142,-75.12492245,Theft from Vehicle
16.0,2024-05-10,39.98004834,-75.22831762,Thefts
20.0,2024-03-14,39.9686936,-75.13905486,Thefts
12.0,2024-02-10,40.01364724,-75.16012377,Thefts
13.0,2024-06-19,40.03578794,-75.12040536,Thefts
4.0,2024-07-28,39.9351227,-75.16355992,Burglary Residential
15.0,2024-05-30,39.97098456,-75.15749392,Theft from Vehicle
13.0,2024-06-18,40.03899063,-75.17359576,Thefts
13.0,2024-04-16,39.95022143,-75.15494409,Thefts
8.0,2024-07-29,,,Theft from Vehicle
9.0,2024-01-13,39.9858413,-75.15560059,Thefts
14.0,2024-07-06,,,Theft from Vehicle
10.0,2024-03-07,,,Thefts
7.0,2024-05-25,40.01692921,-75.08416295,Aggravated Assault Firearm
21.0,2024-04-03,40.03266473,-75.03075584,Aggravated Assault Firearm
13.0,2024-01-07,39.95379673,-75.24228778,Aggravated Assault No Firearm
17.0,2024-01-08,39.99674564,-75.10390822,Aggravated Assault No Firearm
15.0,2024-02-18,40.0204153,-75.07995896,Theft from Vehicle
8.0,2024-01-20,39.92549627,-75.18818619,Rape
18.0,2024-08-16,39.9598555,-75.14770276,Thefts
20.0,2024-07-14,40.01996519,-75.08142504,Aggravated Assault No Firearm
5.0,2024-03-29,40.04241604,-75.07820068,Robbery No Firearm
17.0,2024-08-06,39.94886384,-75.1623312,Aggravated Assault No Firearm
15.0,2024-05-07,39.99266901,-75.1531559,Thefts
20.0,2024-01-23,40.00510024,-75.1466993,Thefts
3.0,2024-07-09,,,Thefts
19.0,2024-01-08,40.02773526,-75.12830046,Aggravated Assault No Firearm
17.0,2024-05-02,40.00608397,-75.2123169,Thefts
20.0,2024-06-20,40.01727168,-75.14878483,Thefts
11.0,2024-01-09,40.07587694,-75.03307961,Thefts
2.0,2024-07-12,39.91830781,-75.20870349,Robbery Firearm
21.0,2024-04-08,40.0322833,-75.01987955,Aggravated Assault No Firearm
15.0,2024-01-04,40.07587694,-75.03307961,Thefts
16.0,2024-01-04,40.07587694,-75.03307961,Thefts
3.0,2024-07-29,40.01692921,-75.08416294,Aggravated Assault No Firearm
11.0,2024-03-27,40.02365376,-75.16093715,Robbery No Firearm
13.0,2024-07-18,40.06035247,-75.04489647,Thefts
11.0,2024-08-04,39.9131466,-75.15559998,Thefts
23.0,2024-06-15,40.01872422,-75.14966103,Robbery No Firearm
15.0,2024-02-06,39.97840511,-75.15032684,Theft from Vehicle
22.0,2024-05-20,40.04775232,-75.05993725,Theft from Vehicle
15.0,2024-07-23,39.95070802,-75.16032106,Burglary Non-Residential
14.0,2024-08-16,40.06921771,-75.0278024,Thefts
11.0,2024-01-17,39.95623732,-75.14326837,Theft from Vehicle
12.0,2024-01-01,39.95623732,-75.14326837,Thefts
13.0,2024-08-20,40.03675288,-75.06979373,Thefts
13.0,2024-01-04,40.03579603,-75.12040713,Thefts
13.0,2024-08-12,40.03675288,-75.06979373,Thefts
11.0,2024-04-06,39.96653894,-75.13993454,Thefts
11.0,2024-07-02,39.92429446,-75.17006782,Thefts
23.0,2024-02-03,40.04629553,-75.07037298,Thefts
8.0,2024-01-03,40.00368897,-75.16617719,Thefts
6.0,2024-06-03,39.97560138,-75.22396318,Robbery No Firearm
18.0,2024-06-25,39.99266901,-75.1531559,Thefts
11.0,2024-04-05,39.98366268,-75.10063502,Robbery No Firearm
8.0,2024-05-12,39.95841709,-75.23570132,Thefts
14.0,2024-01-02,40.04629553,-75.07037298,Thefts
10.0,2024-03-20,39.95151266,-75.16874021,Thefts
17.0,2024-03-18,40.00436805,-75.10356062,Thefts
18.0,2024-08-11,39.96682304,-75.22666981,Thefts
16.0,2024-01-06,40.11652852,-75.00535725,Burglary Non-Residential
14.0,2024-01-14,40.03135524,-75.16747839,Thefts
14.0,2024-07-10,40.02710844,-75.11929358,Thefts
15.0,2024-02-12,39.95041574,-75.16206414,Aggravated Assault No Firearm
9.0,2024-07-29,,,Theft from Vehicle
12.0,2024-06-19,,,Theft from Vehicle
15.0,2024-01-26,39.95101591,-75.16742332,Aggravated Assault Firearm
14.0,2024-03-27,39.924391,-75.1461529,Thefts
12.0,2024-01-04,39.97147633,-75.1594438,Robbery Firearm
16.0,2024-07-22,40.02645387,-75.18261884,Robbery No Firearm
23.0,2024-01-19,39.99139079,-75.12254232,Robbery Firearm
5.0,2024-08-18,39.97725765,-75.11845018,Robbery Firearm
9.0,2024-08-13,39.97725765,-75.11845018,Theft from Vehicle
16.0,2024-05-21,40.01668478,-75.09642259,Thefts
9.0,2024-05-26,40.04718821,-75.05968445,Theft from Vehicle
15.0,2024-06-22,,,Theft from Vehicle
12.0,2024-04-17,39.99077647,-75.08935118,Thefts
19.0,2024-05-19,39.97567614,-75.19187648,Theft from Vehicle
0.0,2024-05-23,39.96759833,-75.13062571,Theft from Vehicle
13.0,2024-05-27,40.00963469,-75.17580691,Thefts
